datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celsius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Sea_Level_Barometric_Pressure_pascal,Surface_Level_Barometric_Pressure_pascal,Precipitation_millimeterPerDay,Snowfall_millimeterPerDay
1990-01-01 00:00:00,5.0584583,-4.7599854,78.544378,0,284.73001,100000,99760,0,0
1990-01-01 01:00:00,5.1157893,-5.0700134,78.574875,0,277.91,100000,99760,0,0
1990-01-01 02:00:00,5.0009,-5.3299927,78.556092,0,277.91,100000,99760,0,0
1990-01-01 03:00:00,4.922215,-5.6000122,78.561577,0,277.91,100000,99760,0,0
1990-01-01 04:00:00,4.8648637,-5.8599915,78.48836,0,272.73999,100000,99760,0,1.536
1990-01-01 05:00:00,4.7592542,-6.130011,78.537326,0,272.74005,100000,99760,0,0.5208
1990-01-01 06:00:00,4.6684044,-6.4,78.570807,0,272.74005,100000,99760,0,0.5376
1990-01-01 07:00:00,4.6002718,-6.669989,78.562947,0,268.32001,100000,99760,0,0
1990-01-01 08:00:00,4.8820076,-6.8899902,78.801485,0,268.32001,100000,99760,0,0
1990-01-01 09:00:00,5.223964,-7.1099915,79.028318,17.68,268.32001,100000,99760,0,0
1990-01-01 10:00:00,5.6103121,-7.3299622,79.23772,52.560001,262.51001,100000,99760,0,0
1990-01-01 11:00:00,5.7275213,-7.5799927,77.870188,79.839996,262.51001,100000,99760,0,0
1990-01-01 12:00:00,5.8488288,-7.8200134,76.378873,101.801,262.51001,100000,99760,0,0.4032
1990-01-01 13:00:00,5.9739855,-8.0700134,74.86788,161.998,251.86,100000,99760,0,0
1990-01-01 14:00:00,6.2746793,-8.2800049,73.036103,147.41701,251.86,100000,99760,0,0
1990-01-01 15:00:00,6.5898482,-8.4899963,71.150634,122.476,251.86,100000,99760,0,0
1990-01-01 16:00:00,6.8944182,-8.6999878,69.156792,111.344,232.10001,100000,99760,0,0
1990-01-01 17:00:00,6.6751029,-8.8699707,68.628691,37.431999,232.10001,100000,99760,0,0
1990-01-01 18:00:00,6.4696829,-9.0499939,68.128166,0,232.10001,100000,99760,0,0
1990-01-01 19:00:00,6.2631384,-9.2200073,67.542261,0,255.27,100000,99760,0,0
1990-01-01 20:00:00,6.2116828,-9.380011,70.746164,0,255.27,100000,99760,0,0
1990-01-01 21:00:00,6.1676981,-9.5399536,74.042247,0,255.27,100000,99760,0,0
1990-01-01 22:00:00,6.1167966,-9.7099976,77.452834,0,236.38,100000,99760,0,0
1990-01-01 23:00:00,5.5414888,-9.8099731,78.713106,0,236.38,100000,99760,0,0
1990-01-02 00:00:00,4.9580035,-9.9100098,79.961981,0,236.38,100000,99760,0,0.2784
1990-01-02 01:00:00,4.3914122,-10.019965,81.306455,0,223.28999,100000,99760,0,0
1990-01-02 02:00:00,4.3150436,-10.269995,82.232233,0,223.28999,100000,99760,0,0
1990-01-02 03:00:00,4.2704215,-10.529974,83.236525,0,223.28999,100000,99760,0,0
1990-01-02 04:00:00,4.2467868,-10.790015,84.245396,0,180.67999,100000,99760,0,0
1990-01-02 05:00:00,3.9805779,-11.259985,85.217548,0,180.67999,100000,99760,0,0
1990-01-02 06:00:00,3.7146871,-11.720007,86.108832,0,180.67999,100000,99760,0,0
1990-01-02 07:00:00,3.4509854,-12.190009,87.002854,0,172.88,100000,99760,0,0
1990-01-02 08:00:00,3.5955666,-12.13999,86.498755,0,172.88,100000,99760,0,0
