datetime,Flow_metersCubedPerSecond_1,Flow_metersCubedPerSecond_2
1990-01-01 00:00:00,5.326274,0.00001
1990-01-02 00:00:00,5.279789,0.00001
1990-01-03 00:00:00,5.232633,0.00001
1990-01-04 00:00:00,5.190151,0.00001
1990-01-05 00:00:00,5.24443,0.00001
1990-01-06 00:00:00,5.297507,0.00001
1990-01-07 00:00:00,5.210604,0.00001
1990-01-08 00:00:00,5.153491,0.00001
1990-01-09 00:00:00,5.191968,0.00001
1990-01-10 00:00:00,5.121855,0.00001
1990-01-11 00:00:00,5.080963,0.00001
1990-01-12 00:00:00,4.987766,0.00001
1990-01-13 00:00:00,5.02067,0.00001
1990-01-14 00:00:00,5.130408,0.00001
1990-01-15 00:00:00,5.017816,0.00001
1990-01-16 00:00:00,4.937935,0.00001
1990-01-17 00:00:00,4.831148,0.00001
1990-01-18 00:00:00,4.904465,0.00001
1990-01-19 00:00:00,5.348336,0.00001
1990-01-20 00:00:00,5.161512,0.00001
1990-01-21 00:00:00,5.137636,0.00001
1990-01-22 00:00:00,5.109813,0.00001
1990-01-23 00:00:00,5.010224,0.00001
1990-01-24 00:00:00,4.917166,0.00001
1990-01-25 00:00:00,4.825883,0.00001
1990-01-26 00:00:00,4.740954,0.00001
1990-01-27 00:00:00,4.658599,0.00001
1990-01-28 00:00:00,4.577803,0.00001
1990-01-29 00:00:00,4.507304,0.00001
1990-01-30 00:00:00,4.433556,0.00001
1990-01-31 00:00:00,4.359052,0.00001
1990-02-01 00:00:00,4.283704,0.00001
1990-02-02 00:00:00,4.216444,0.00001
1990-02-03 00:00:00,4.184206,0.00001
1990-02-04 00:00:00,4.118518,0.00001
1990-02-05 00:00:00,4.06557,0.00001
1990-02-06 00:00:00,4.012139,0.00001
1990-02-07 00:00:00,3.963927,0.00001
1990-02-08 00:00:00,3.912586,0.00001
1990-02-09 00:00:00,3.860977,0.00001
1990-02-10 00:00:00,3.793336,0.00001
1990-02-11 00:00:00,3.752937,0.00001
1990-02-12 00:00:00,3.709586,0.00001
1990-02-13 00:00:00,3.663314,0.00001
1990-02-14 00:00:00,3.626003,0.00001
1990-02-15 00:00:00,3.587365,0.00001
1990-02-16 00:00:00,3.536378,0.00001
1990-02-17 00:00:00,3.478934,0.00001
1990-02-18 00:00:00,3.348915,0.00001
1990-02-19 00:00:00,3.375239,0.00001
1990-02-20 00:00:00,3.265242,0.00001
1990-02-21 00:00:00,3.469929,0.00001
1990-02-22 00:00:00,3.395373,0.00001
1990-02-23 00:00:00,3.43595,0.00001
1990-02-24 00:00:00,3.696675,0.00001
1990-02-25 00:00:00,3.822901,0.00001
1990-02-26 00:00:00,3.887358,0.00001
1990-02-27 00:00:00,3.937808,0.00001
1990-02-28 00:00:00,3.984619,0.00001
1990-03-01 00:00:00,4.009101,0.00001
1990-03-02 00:00:00,4.021498,0.00001
1990-03-03 00:00:00,4.012744,0.00001
1990-03-04 00:00:00,4.149806,0.00001
1990-03-05 00:00:00,4.279774,0.00001
1990-03-06 00:00:00,4.506211,0.00001
1990-03-07 00:00:00,4.498193,0.00001
1990-03-08 00:00:00,4.467359,0.00001
1990-03-09 00:00:00,4.434476,0.00001
1990-03-10 00:00:00,4.215529,0.00001
1990-03-11 00:00:00,4.394311,0.00001
1990-03-12 00:00:00,4.404028,0.00001
1990-03-13 00:00:00,4.393566,0.00001
1990-03-14 00:00:00,4.309315,0.00001
1990-03-15 00:00:00,4.267967,0.00001
1990-03-16 00:00:00,4.204178,0.00001
1990-03-17 00:00:00,4.21274,0.00001
1990-03-18 00:00:00,4.192247,0.00001
1990-03-19 00:00:00,4.152955,0.00001
1990-03-20 00:00:00,4.82181,0.00001
1990-03-21 00:00:00,4.897147,0.00001
1990-03-22 00:00:00,4.905815,0.00001
1990-03-23 00:00:00,4.917424,0.00001
1990-03-24 00:00:00,4.862754,0.00001
1990-03-25 00:00:00,4.840766,0.00001
1990-03-26 00:00:00,5.043792,0.00001
1990-03-27 00:00:00,5.877294,0.00001
1990-03-28 00:00:00,6.197699,0.00001
1990-03-29 00:00:00,6.307938,0.00001
1990-03-30 00:00:00,6.358877,0.00001
