datetime,Depth_meter,Water_Temperature_celsius
1990-01-01 00:00:00,0,4
1990-01-01 00:00:00,15,4
1995-05-09 00:00:00,0,7.8
1995-05-09 00:00:00,3,7.8
1995-05-09 00:00:00,5,7.8
1995-05-09 00:00:00,10,7.8
1995-05-09 00:00:00,15,7.8
1995-05-09 00:00:00,20,7.7
1995-05-09 00:00:00,25,7.7
1995-05-09 00:00:00,28,7.7
1995-05-09 00:00:00,1,7.7
1995-05-09 00:00:00,3,7.7
1995-05-09 00:00:00,10,7.7
1995-05-09 00:00:00,15,7.7
1995-05-09 00:00:00,20,7.7
1995-05-09 00:00:00,25,7.7
1995-05-09 00:00:00,27,7.6
1995-05-09 00:00:00,28,7.6
1995-05-09 00:00:00,0,7.6
1995-05-09 00:00:00,3,7.6
1995-05-09 00:00:00,5,7.6
1995-05-09 00:00:00,10,7.6
1995-05-09 00:00:00,15,7.6
1995-05-09 00:00:00,20,7.6
1995-05-09 00:00:00,25,7.6
1995-05-09 00:00:00,30,7.6
1995-05-23 00:00:00,0,14
1995-05-23 00:00:00,3,14
1995-05-23 00:00:00,4,14
1995-05-23 00:00:00,6,13.9
1995-05-23 00:00:00,10,13.9
1995-05-23 00:00:00,15,13.4
1995-05-23 00:00:00,20,13.3
1995-05-23 00:00:00,25,13.2
1995-05-23 00:00:00,28,13.1
1995-05-23 00:00:00,0,12.9
1995-05-23 00:00:00,2,12.9
1995-05-23 00:00:00,3,12.8
1995-05-23 00:00:00,4,12.6
1995-05-23 00:00:00,6,11.9
1995-05-23 00:00:00,8,11.1
1995-05-23 00:00:00,10,10.8
1995-05-23 00:00:00,15,10.5
1995-05-23 00:00:00,20,10.4
1995-05-23 00:00:00,26,10.2
1995-05-23 00:00:00,28,10.2
1995-05-23 00:00:00,0,9.8
1995-05-23 00:00:00,1,9.6
1995-05-23 00:00:00,2,9.6
1995-05-23 00:00:00,3,9.6
1995-05-23 00:00:00,4,9.5
1995-05-23 00:00:00,5,9.5
1995-06-06 00:00:00,6,19.3
1995-06-06 00:00:00,7,18.7
1995-06-06 00:00:00,8,18
1995-06-06 00:00:00,9,17.9
1995-06-06 00:00:00,10,17.5
1995-06-06 00:00:00,15,15.6
1995-06-06 00:00:00,16,15.1
1995-06-06 00:00:00,17,14.9
1995-06-06 00:00:00,18,14.6
1995-06-06 00:00:00,19,14.1
1995-06-06 00:00:00,20,13.8
1995-06-06 00:00:00,25,13.5
1995-06-06 00:00:00,30,13
1995-06-06 00:00:00,0,12
1995-06-06 00:00:00,1,11.5
1995-06-06 00:00:00,2,11.2
1995-06-06 00:00:00,2.5,11
1995-06-06 00:00:00,3,10.6
1995-06-06 00:00:00,4,10.3
1995-06-06 00:00:00,4.5,10.3
1995-06-06 00:00:00,5,10.1
1995-06-06 00:00:00,5.5,10
1995-06-06 00:00:00,6,9.9
1995-06-06 00:00:00,7,9.9
1995-06-06 00:00:00,8,9.8
1995-06-21 00:00:00,9,27.6
1995-06-21 00:00:00,10,27.4
1995-06-21 00:00:00,11,25.6
1995-06-21 00:00:00,12,24.2
1995-06-21 00:00:00,13,22.3
1995-06-21 00:00:00,14,20.1
1995-06-21 00:00:00,15,18.4
1995-06-21 00:00:00,20,17.5
1995-06-21 00:00:00,25,16.5
1995-06-21 00:00:00,30,15.8
1995-06-21 00:00:00,0,14.7
1995-06-21 00:00:00,1,14.3
1995-06-21 00:00:00,2,13.5
1995-06-21 00:00:00,3,13
1995-06-21 00:00:00,4,12.1
1995-06-21 00:00:00,5,11.7
1995-07-06 00:00:00,6,21.4
1995-07-06 00:00:00,7,21.5
1995-07-06 00:00:00,8,21.5
1995-07-06 00:00:00,9,21.5
1995-07-06 00:00:00,10,21.5
1995-07-06 00:00:00,12,21.5
1995-07-06 00:00:00,14,21.5
1995-07-06 00:00:00,15,21.5
1995-07-06 00:00:00,16,21.5
1995-07-06 00:00:00,18,21.5
1995-07-06 00:00:00,20,21.5
1995-07-06 00:00:00,22,21.4
1995-07-06 00:00:00,24,15.1
1995-07-06 00:00:00,25,14.2
1995-07-06 00:00:00,26,13.3
1995-07-06 00:00:00,27,12.9
1995-07-06 00:00:00,28,12.1
1995-07-06 00:00:00,29,11.6
1995-07-06 00:00:00,0,11.3
1995-07-06 00:00:00,1,11
1995-07-06 00:00:00,2,10.9
1995-07-06 00:00:00,2,10.9
1995-07-06 00:00:00,3,10.6
1995-07-06 00:00:00,4,10.6
1995-07-06 00:00:00,5,10.5
1995-07-06 00:00:00,6,10.4
1995-07-18 00:00:00,7,24.9
1995-07-18 00:00:00,8,25.1
1995-07-18 00:00:00,9,25.1
1995-07-18 00:00:00,10,25.1
1995-07-18 00:00:00,11,25.1
1995-07-18 00:00:00,12,25.1
1995-07-18 00:00:00,13,25.1
1995-07-18 00:00:00,14,25
1995-07-18 00:00:00,15,25
1995-07-18 00:00:00,16,18.5
1995-07-18 00:00:00,17,15.8
1995-07-18 00:00:00,18,14.3
1995-07-18 00:00:00,19,13.7
1995-07-18 00:00:00,20,13
1995-07-18 00:00:00,21,12.8
1995-07-18 00:00:00,22,12.5
1995-07-18 00:00:00,23,12.2
1995-07-18 00:00:00,24,11.8
1995-07-18 00:00:00,25,11.3
1995-07-18 00:00:00,26,11.1
1995-07-18 00:00:00,27,11.1
1995-07-18 00:00:00,28,11
1995-07-18 00:00:00,29,10.9
1995-07-18 00:00:00,30,10.8
1995-07-18 00:00:00,0,10.8
1995-08-02 00:00:00,1,25.5
1995-08-02 00:00:00,2,25.6
1995-08-02 00:00:00,3,25.6
1995-08-02 00:00:00,4,25.5
1995-08-02 00:00:00,5.5,25.6
1995-08-02 00:00:00,6,25.6
1995-08-02 00:00:00,7,25.6
1995-08-02 00:00:00,8,22.7
1995-08-02 00:00:00,10,21.5
1995-08-02 00:00:00,12,NA
1995-08-02 00:00:00,14,20
1995-08-02 00:00:00,15,19.5
1995-08-02 00:00:00,16,18.3
1995-08-02 00:00:00,18,16.5
1995-08-02 00:00:00,20,15.5
1995-08-02 00:00:00,22,14.8
1995-08-02 00:00:00,24,14.4
1995-08-02 00:00:00,25,13.8
1995-08-02 00:00:00,26,13.3
1995-08-02 00:00:00,27,13.1
1995-08-02 00:00:00,28,12.8
1995-08-02 00:00:00,0,12.4
1995-08-02 00:00:00,1,12.1
1995-08-02 00:00:00,2,11.9
1995-08-02 00:00:00,3,11.8
1995-08-02 00:00:00,4,11.5
1995-08-02 00:00:00,6,11.4
1995-08-02 00:00:00,7,11.3
1995-08-02 00:00:00,8,11.1
1995-08-02 00:00:00,9,10.9
1995-08-02 00:00:00,9.5,10.9
1995-08-02 00:00:00,10,10.8
1995-08-14 00:00:00,11,27.1
1995-08-14 00:00:00,13,27.1
1995-08-14 00:00:00,15,27.1
1995-08-14 00:00:00,17,27.1
1995-08-14 00:00:00,18,27
1995-08-14 00:00:00,19,26.9
1995-08-14 00:00:00,20,26.7
1995-08-14 00:00:00,22,24
1995-08-14 00:00:00,25,22.5
1995-08-14 00:00:00,29,22.1
1995-08-14 00:00:00,30,20.1
1995-08-14 00:00:00,0,18.8
1995-08-14 00:00:00,1,18.2
1995-08-14 00:00:00,2,17.8
1995-08-14 00:00:00,3,17.2
1995-08-14 00:00:00,4,16.6
1995-08-14 00:00:00,5,15.7
1995-08-14 00:00:00,6,14.7
1995-08-14 00:00:00,7,14
1995-08-14 00:00:00,8,13.3
1995-08-14 00:00:00,9,13.1
1995-08-14 00:00:00,10,13
1995-08-14 00:00:00,11,12.8
1995-08-14 00:00:00,12,12.7
1995-08-14 00:00:00,13,12.4
1995-08-14 00:00:00,14,12.2
1995-08-14 00:00:00,15,12
1995-08-14 00:00:00,16,11.8
1995-08-14 00:00:00,17,11.6
1995-08-14 00:00:00,18,11.5
1995-08-14 00:00:00,19,11.4
1995-08-14 00:00:00,20,11.2
1995-08-14 00:00:00,21,11.1
1995-08-14 00:00:00,22,11
1995-08-14 00:00:00,23,11
1995-08-30 00:00:00,24,25
1995-08-30 00:00:00,25,25.1
1995-08-30 00:00:00,26,25.1
1995-08-30 00:00:00,27,25.1
1995-08-30 00:00:00,28,25.1
1995-08-30 00:00:00,29,25.1
1995-08-30 00:00:00,30,25
1995-08-30 00:00:00,0,25
1995-08-30 00:00:00,1,24.8
1995-08-30 00:00:00,2,22.8
1995-08-30 00:00:00,3,20.7
1995-08-30 00:00:00,4,18.9
1995-08-30 00:00:00,5,18.1
1995-08-30 00:00:00,6,17.4
1995-08-30 00:00:00,7,16.5
1995-08-30 00:00:00,8,15.6
1995-08-30 00:00:00,9,14.9
1995-08-30 00:00:00,10,14.2
1995-08-30 00:00:00,11,14
1995-08-30 00:00:00,12,13.3
1995-08-30 00:00:00,13,12.8
1995-08-30 00:00:00,14,12.2
1995-08-30 00:00:00,15,11.8
1995-08-30 00:00:00,16,11.7
1995-08-30 00:00:00,17,11.5
1995-08-30 00:00:00,18,11.2
1995-08-30 00:00:00,19,11.1
1995-08-30 00:00:00,20,11
1995-08-30 00:00:00,21,11
1995-08-30 00:00:00,22,11
1995-09-11 00:00:00,23,20.8
1995-09-11 00:00:00,24,20.9
1995-09-11 00:00:00,25,20.9
1995-09-11 00:00:00,29,20.9
1995-09-11 00:00:00,30,20.9
1995-09-11 00:00:00,0,20.9
1995-09-11 00:00:00,1,20.9
1995-09-11 00:00:00,2,20.9
1995-09-11 00:00:00,3,20.9
1995-09-11 00:00:00,4,20.9
1995-09-11 00:00:00,5,20.9
1995-09-11 00:00:00,6,20.8
1995-09-11 00:00:00,7,18
1995-09-11 00:00:00,8,17.3
1995-09-11 00:00:00,9,15.6
1995-09-11 00:00:00,10,13.9
1995-09-11 00:00:00,11,13.6
1995-09-11 00:00:00,12,13.2
1995-09-11 00:00:00,13,12.9
1995-09-11 00:00:00,14,12.6
1995-09-11 00:00:00,15,12.4
1995-09-11 00:00:00,16,12.2
1995-09-11 00:00:00,17,12.1
1995-09-11 00:00:00,18,11.8
1995-09-11 00:00:00,19,11.6
1995-09-11 00:00:00,20,11.5
1995-09-11 00:00:00,21,11.3
1995-09-11 00:00:00,22,11.2
1995-09-11 00:00:00,23,11.2
1995-09-11 00:00:00,24,11.1
1995-09-25 00:00:00,25,16.1
1995-09-25 00:00:00,26,16.1
1995-09-25 00:00:00,27,16.1
1995-09-25 00:00:00,28,16.1
1995-09-25 00:00:00,29,16.1
1995-09-25 00:00:00,30,16.1
1995-09-25 00:00:00,0,16.1
1995-09-25 00:00:00,1,16.1
1995-09-25 00:00:00,2,16.1
1995-09-25 00:00:00,3,16.1
1995-09-25 00:00:00,4,16.1
1995-09-25 00:00:00,5,16.1
1995-09-25 00:00:00,6,16
1995-09-25 00:00:00,7,16
1995-09-25 00:00:00,8,15.4
1995-09-25 00:00:00,9,14
1995-09-25 00:00:00,10,13
1995-09-25 00:00:00,11,12
1995-09-25 00:00:00,12,12
1995-09-25 00:00:00,13,11.8
1995-09-25 00:00:00,13.5,11.6
1995-09-25 00:00:00,14,11.4
1995-09-25 00:00:00,15,11.3
1995-09-25 00:00:00,16,11.2
1995-09-25 00:00:00,17,11.1
1995-09-25 00:00:00,18,11.1
1995-09-25 00:00:00,20,11.1
1995-10-11 00:00:00,22,15.2
1995-10-11 00:00:00,25,15.2
1995-10-11 00:00:00,27,15.2
1995-10-11 00:00:00,30,15.1
1995-10-11 00:00:00,0,15.1
1995-10-11 00:00:00,2,15.1
1995-10-11 00:00:00,3,15.1
1995-10-11 00:00:00,4,15.1
1995-10-11 00:00:00,6,15
1995-10-11 00:00:00,8,15
1995-10-11 00:00:00,10,15
1995-10-11 00:00:00,12,15
1995-10-11 00:00:00,14,15
1995-10-11 00:00:00,15,15
1995-10-11 00:00:00,15.5,15
1995-10-11 00:00:00,16,15
1995-10-11 00:00:00,16.5,15
1995-10-11 00:00:00,17,15
1995-10-11 00:00:00,17.5,15
1995-10-11 00:00:00,18,NA
1995-10-11 00:00:00,19,15
1995-10-11 00:00:00,20,12.6
1995-10-11 00:00:00,22,12.5
1995-10-11 00:00:00,25,12.2
1995-10-11 00:00:00,30,11.9
1995-10-11 00:00:00,0,11.9
1995-10-11 00:00:00,1,11.8
1995-10-11 00:00:00,2,11.7
1995-10-25 00:00:00,3,11.4
1995-10-25 00:00:00,4,11.5
1995-10-25 00:00:00,5,11.5
1995-10-25 00:00:00,7,11.5
1995-10-25 00:00:00,9,11.5
1995-10-25 00:00:00,10,11.5
1995-10-25 00:00:00,12,11.5
1995-10-25 00:00:00,14,11.4
1995-10-25 00:00:00,15,11.4
1995-10-25 00:00:00,17,11.4
1995-10-25 00:00:00,18,11.4
1995-10-25 00:00:00,18,11.4
1995-10-25 00:00:00,19,11.4
1995-10-25 00:00:00,20,11.4
1995-10-25 00:00:00,22,11.4
1995-10-25 00:00:00,24,11.4
1995-10-25 00:00:00,25,11.4
1995-10-25 00:00:00,27,11.4
1995-10-25 00:00:00,29,11.4
1995-10-25 00:00:00,30,11.3
1995-10-25 00:00:00,30.5,11.2
1995-10-25 00:00:00,4,11.2
1995-10-25 00:00:00,30,11.2
1995-11-10 00:00:00,0,7.4
1995-11-10 00:00:00,3,7.4
1995-11-10 00:00:00,5,7.4
1995-11-10 00:00:00,6,7.4
1995-11-10 00:00:00,8,7.4
1995-11-10 00:00:00,10,7.4
1995-11-10 00:00:00,15,7.4
1995-11-10 00:00:00,20,7.4
1995-11-10 00:00:00,22.5,7.4
1995-11-10 00:00:00,25,7.4
1995-11-10 00:00:00,27.5,7.4
1995-11-10 00:00:00,30,7.4
1995-11-10 00:00:00,0,7.4
1995-11-10 00:00:00,2,7.4
1995-11-10 00:00:00,3,7.4
1995-11-10 00:00:00,4,7.4
1995-11-10 00:00:00,6,7.4
1995-11-10 00:00:00,8,7.4
1995-11-10 00:00:00,10,7.4
1995-11-10 00:00:00,12,7.4
1995-11-10 00:00:00,14,7.4
1995-11-10 00:00:00,16,7.4
1995-11-10 00:00:00,18,7.4
1995-11-10 00:00:00,20,7.4
1995-12-06 00:00:00,22,2.3
1995-12-06 00:00:00,24,2.3
1995-12-06 00:00:00,26,2.3
1995-12-06 00:00:00,28,2.3
1995-12-06 00:00:00,29.5,2.3
1995-12-06 00:00:00,0,2.3
1995-12-06 00:00:00,2,2.3
1996-02-06 00:00:00,3,NA
1996-02-06 00:00:00,4,NA
1996-02-06 00:00:00,6,NA
1996-02-06 00:00:00,8,NA
1996-02-06 00:00:00,10,NA
1996-02-06 00:00:00,12,NA
1996-02-06 00:00:00,14,NA
1996-04-09 00:00:00,16,4.2
1996-04-09 00:00:00,18,3.9
1996-04-09 00:00:00,20,3.9
1996-04-09 00:00:00,22,3.8
1996-04-09 00:00:00,24,3.8
1996-04-09 00:00:00,26,3.8
1996-04-09 00:00:00,28,3.8
1996-04-09 00:00:00,30,3.7
1996-04-09 00:00:00,31,3.7
1996-04-09 00:00:00,0,3.7
1996-04-09 00:00:00,2,3.7
1996-04-09 00:00:00,3,3.7
1996-04-09 00:00:00,6,3.7
1996-04-09 00:00:00,8,3.7
1996-04-09 00:00:00,10,3.8
1996-04-09 00:00:00,15,3.8
1996-04-09 00:00:00,20,3.8
1996-04-09 00:00:00,25,3.8
1996-04-09 00:00:00,28,3.9
1996-04-09 00:00:00,0,3.9
1996-04-09 00:00:00,1,3.9
1996-04-17 00:00:00,2,4.6
1996-04-17 00:00:00,3,4.5
1996-04-17 00:00:00,4,4.5
1996-04-17 00:00:00,6,4.5
1996-04-17 00:00:00,8,4.5
1996-04-17 00:00:00,10,4.5
1996-04-17 00:00:00,12,4.5
1996-04-17 00:00:00,14,4.5
1996-04-17 00:00:00,16,4.5
1996-04-17 00:00:00,18,4.5
1996-04-17 00:00:00,20,4.5
1996-04-17 00:00:00,22,4.5
1996-04-17 00:00:00,24,4.5
1996-04-17 00:00:00,26,4.5
1996-04-17 00:00:00,28,4.5
1996-04-17 00:00:00,30,4.5
1996-04-17 00:00:00,31,4.5
1996-04-17 00:00:00,0,4.5
1996-04-17 00:00:00,3,4.5
1996-04-17 00:00:00,5,4.5
1996-04-17 00:00:00,10,4.5
1996-04-17 00:00:00,15,4.5
1996-04-17 00:00:00,20,4.5
1996-05-01 00:00:00,25,7.3
1996-05-01 00:00:00,30,7.3
1996-05-01 00:00:00,0,7.3
1996-05-01 00:00:00,1,7.3
1996-05-01 00:00:00,2,7.3
1996-05-01 00:00:00,3,7.3
1996-05-01 00:00:00,4,7.3
1996-05-01 00:00:00,5,7.3
1996-05-01 00:00:00,6,7.3
1996-05-01 00:00:00,7,7.3
1996-05-01 00:00:00,8,7.3
1996-05-01 00:00:00,9,7.3
1996-05-01 00:00:00,10,7.3
1996-05-01 00:00:00,11,7.3
1996-05-01 00:00:00,12,7.3
1996-05-01 00:00:00,13,7.3
1996-05-01 00:00:00,14,7.3
1996-05-01 00:00:00,15,7.3
1996-05-01 00:00:00,16,7.3
1996-05-01 00:00:00,17,7.3
1996-05-01 00:00:00,18,7.2
1996-05-01 00:00:00,19,7.2
1996-05-01 00:00:00,20,7.2
1996-05-01 00:00:00,21,7.2
1996-05-01 00:00:00,22,7.2
1996-05-14 00:00:00,23,9.1
1996-05-14 00:00:00,24,9.1
1996-05-14 00:00:00,25,9.1
1996-05-14 00:00:00,26,9
1996-05-14 00:00:00,27,9
1996-05-14 00:00:00,28,9
1996-05-14 00:00:00,29,9
1996-05-14 00:00:00,30,9
1996-05-14 00:00:00,0,9
1996-05-14 00:00:00,1,9
1996-05-14 00:00:00,2,9
1996-05-14 00:00:00,3,9
1996-05-14 00:00:00,4,9
1996-05-14 00:00:00,5,9
1996-05-14 00:00:00,6,9
1996-05-14 00:00:00,7,8.9
1996-05-14 00:00:00,8,8.4
1996-05-14 00:00:00,9,8.2
1996-05-14 00:00:00,10,8.1
1996-05-14 00:00:00,11,8.1
1996-05-14 00:00:00,12,8.1
1996-05-14 00:00:00,13,8.1
1996-05-14 00:00:00,14,8
1996-05-14 00:00:00,15,8
1996-05-28 00:00:00,16,11.6
1996-05-28 00:00:00,17,11.6
1996-05-28 00:00:00,18,11.6
1996-05-28 00:00:00,19,11.6
1996-05-28 00:00:00,20,11.6
1996-05-28 00:00:00,21,11.6
1996-05-28 00:00:00,22,11.6
1996-05-28 00:00:00,23,11.6
1996-05-28 00:00:00,24,11.6
1996-05-28 00:00:00,25,11.6
1996-05-28 00:00:00,26,11.6
1996-05-28 00:00:00,27,11.6
1996-05-28 00:00:00,28,11.6
1996-05-28 00:00:00,29,11.6
1996-05-28 00:00:00,30,11.6
1996-05-28 00:00:00,0,11.6
1996-05-28 00:00:00,1,11.5
1996-05-28 00:00:00,2,11.5
1996-05-28 00:00:00,3,11.5
1996-05-28 00:00:00,4,11
1996-05-28 00:00:00,5,9.2
1996-05-28 00:00:00,6,9.2
1996-06-10 00:00:00,7,14.8
1996-06-10 00:00:00,8,14.7
1996-06-10 00:00:00,9,14.7
1996-06-10 00:00:00,10,14.7
1996-06-10 00:00:00,11,14.7
1996-06-10 00:00:00,12,14.6
1996-06-10 00:00:00,13,14.6
1996-06-10 00:00:00,14,14.6
1996-06-10 00:00:00,15,14.5
1996-06-10 00:00:00,16,14.1
1996-06-10 00:00:00,17,13.9
1996-06-10 00:00:00,18,13.4
1996-06-10 00:00:00,19,12.8
1996-06-10 00:00:00,20,12.5
1996-06-10 00:00:00,21,12.2
1996-06-10 00:00:00,22,11.9
1996-06-10 00:00:00,23,11.5
1996-06-10 00:00:00,24,11.3
1996-06-10 00:00:00,25,10.9
1996-06-10 00:00:00,26,10.8
1996-06-10 00:00:00,27,10.5
1996-06-10 00:00:00,28,10.3
1996-06-26 00:00:00,29,21
1996-06-26 00:00:00,30,20.9
1996-06-26 00:00:00,0,20.8
1996-06-26 00:00:00,1,20.7
1996-06-26 00:00:00,2,20.7
1996-06-26 00:00:00,3,20.5
1996-06-26 00:00:00,3,20.3
1996-06-26 00:00:00,4,19.2
1996-06-26 00:00:00,5,16.1
1996-06-26 00:00:00,6,15
1996-06-26 00:00:00,7,14.5
1996-06-26 00:00:00,8,13.9
1996-06-26 00:00:00,9,13.3
1996-06-26 00:00:00,10,13.2
1996-06-26 00:00:00,11,12.3
1996-06-26 00:00:00,12,12
1996-06-26 00:00:00,13,11.7
1996-06-26 00:00:00,14,11.6
1996-06-26 00:00:00,15,11.5
1996-06-26 00:00:00,16,11.3
1996-06-26 00:00:00,17,11.1
1996-06-26 00:00:00,18,10.8
1996-06-26 00:00:00,19,10.8
1996-07-08 00:00:00,20,24.3
1996-07-08 00:00:00,21,24.3
1996-07-08 00:00:00,22,24.3
1996-07-08 00:00:00,23,24.3
1996-07-08 00:00:00,24,24.3
1996-07-08 00:00:00,25,24.3
1996-07-08 00:00:00,26,24.3
1996-07-08 00:00:00,27,24.3
1996-07-08 00:00:00,28,22.7
1996-07-08 00:00:00,29,17
1996-07-08 00:00:00,30,15.2
1996-07-08 00:00:00,31,13.6
1996-07-08 00:00:00,32,12.8
1996-07-08 00:00:00,0,12.6
1996-07-08 00:00:00,1,12.3
1996-07-08 00:00:00,2,12
1996-07-08 00:00:00,3,11.6
1996-07-08 00:00:00,4,11.4
1996-07-08 00:00:00,5,11.2
1996-07-08 00:00:00,6,11.1
1996-07-08 00:00:00,7,11
1996-07-08 00:00:00,8,10.8
1996-07-08 00:00:00,9,10.7
1996-07-08 00:00:00,10,10.4
1996-07-22 00:00:00,11,22.6
1996-07-22 00:00:00,12,22.7
1996-07-22 00:00:00,13,22.7
1996-07-22 00:00:00,14,22.7
1996-07-22 00:00:00,15,22.7
1996-07-22 00:00:00,16,22.6
1996-07-22 00:00:00,17,22.6
1996-07-22 00:00:00,18,22.6
1996-07-22 00:00:00,19,21.9
1996-07-22 00:00:00,20,19.1
1996-07-22 00:00:00,21,17.2
1996-07-22 00:00:00,22,15.2
1996-07-22 00:00:00,23,13.7
1996-07-22 00:00:00,24,13
1996-07-22 00:00:00,25,12.1
1996-07-22 00:00:00,26,11.9
1996-07-22 00:00:00,27,11.7
1996-07-22 00:00:00,28,11.4
1996-07-22 00:00:00,29,11.2
1996-07-22 00:00:00,0,11.1
1996-07-22 00:00:00,1,10.8
1996-07-22 00:00:00,2,10.6
1996-07-22 00:00:00,3,10.5
1996-08-05 00:00:00,4,22.5
1996-08-05 00:00:00,5,22.5
1996-08-05 00:00:00,6,22.5
1996-08-05 00:00:00,7,22.4
1996-08-05 00:00:00,8,22.4
1996-08-05 00:00:00,9,22.4
1996-08-05 00:00:00,10,22.4
1996-08-05 00:00:00,11,22.3
1996-08-05 00:00:00,12,22.1
1996-08-05 00:00:00,13,19.1
1996-08-05 00:00:00,14,14.3
1996-08-05 00:00:00,15,13.5
1996-08-05 00:00:00,16,13.3
1996-08-05 00:00:00,17,12.9
1996-08-05 00:00:00,18,12.4
1996-08-05 00:00:00,19,12.1
1996-08-05 00:00:00,20,11.9
1996-08-05 00:00:00,21,11.7
1996-08-05 00:00:00,22,11.2
1996-08-05 00:00:00,23,10.9
1996-08-05 00:00:00,24,10.5
1996-08-05 00:00:00,25,10.4
1996-08-05 00:00:00,26,10.4
1996-08-05 00:00:00,27,10.4
1996-08-19 00:00:00,28,23.3
1996-08-19 00:00:00,29,23.2
1996-08-19 00:00:00,30,23.2
1996-08-19 00:00:00,0,23.2
1996-08-19 00:00:00,1,23.2
1996-08-19 00:00:00,2,23.2
1996-08-19 00:00:00,3,23.1
1996-08-19 00:00:00,4,23.1
1996-08-19 00:00:00,5,22.9
1996-08-19 00:00:00,6,20.2
1996-08-19 00:00:00,7,15.6
1996-08-19 00:00:00,8,14.4
1996-08-19 00:00:00,9,13.1
1996-08-19 00:00:00,10,12.7
1996-08-19 00:00:00,11,12.1
1996-08-19 00:00:00,12,11.7
1996-08-19 00:00:00,13,11.5
1996-08-19 00:00:00,14,11.4
1996-08-19 00:00:00,15,11.2
1996-08-19 00:00:00,16,11
1996-08-19 00:00:00,17,10.8
1996-08-19 00:00:00,18,10.7
1996-08-19 00:00:00,19,10.6
1996-08-19 00:00:00,20,10.5
1996-08-19 00:00:00,21,10.5
1996-09-05 00:00:00,22,26.2
1996-09-05 00:00:00,23,25.1
1996-09-05 00:00:00,24,24.2
1996-09-05 00:00:00,25,23.9
1996-09-05 00:00:00,26,23.7
1996-09-05 00:00:00,27,23.5
1996-09-05 00:00:00,28,23.5
1996-09-05 00:00:00,29,23.2
1996-09-05 00:00:00,30,23.1
1996-09-05 00:00:00,0,22.2
1996-09-05 00:00:00,1,21.3
1996-09-05 00:00:00,2,18.4
1996-09-05 00:00:00,3,15.2
1996-09-05 00:00:00,4,13.6
1996-09-05 00:00:00,5,12.9
1996-09-05 00:00:00,6,12.4
1996-09-05 00:00:00,7,12
1996-09-05 00:00:00,8,11.6
