datetime,Depth_meter,Water_Temperature_celsius
1989-01-10 00:00:00,0,4
1989-01-10 00:00:00,3,4
1989-01-10 00:00:00,5,4
1989-01-10 00:00:00,10,4
1989-01-10 00:00:00,15,4
1989-01-10 00:00:00,20,4
1989-01-10 00:00:00,25,4
1989-01-10 00:00:00,28,4
1989-02-08 00:00:00,1,4.6
1989-02-08 00:00:00,3,4.6
1989-02-08 00:00:00,10,4.6
1989-02-08 00:00:00,15,4.6
1989-02-08 00:00:00,20,4.6
1989-02-08 00:00:00,25,4.6
1989-02-08 00:00:00,27,4.6
1989-02-08 00:00:00,28,4.6
1989-03-08 00:00:00,0,4.2
1989-03-08 00:00:00,3,4.2
1989-03-08 00:00:00,5,4.2
1989-03-08 00:00:00,10,4.2
1989-03-08 00:00:00,15,4.2
1989-03-08 00:00:00,20,4.2
1989-03-08 00:00:00,25,4.2
1989-03-08 00:00:00,30,4.1
1989-04-11 00:00:00,0,5.5
1989-04-11 00:00:00,3,5.5
1989-04-11 00:00:00,4,5.5
1989-04-11 00:00:00,6,5.5
1989-04-11 00:00:00,10,5.4
1989-04-11 00:00:00,15,5.4
1989-04-11 00:00:00,20,5.4
1989-04-11 00:00:00,25,5.4
1989-04-11 00:00:00,28,5.4
1989-04-26 00:00:00,0,7.3
1989-04-26 00:00:00,2,7.3
1989-04-26 00:00:00,3,7.3
1989-04-26 00:00:00,4,7.3
1989-04-26 00:00:00,6,7.2
1989-04-26 00:00:00,8,7.2
1989-04-26 00:00:00,10,7.2
1989-04-26 00:00:00,15,6.7
1989-04-26 00:00:00,20,6.5
1989-04-26 00:00:00,26,6.4
1989-04-26 00:00:00,28,6.4
1989-05-16 00:00:00,0,10.7
1989-05-16 00:00:00,1,10.7
1989-05-16 00:00:00,2,10.6
1989-05-16 00:00:00,3,10.6
1989-05-16 00:00:00,4,10.5
1989-05-16 00:00:00,5,10.4
1989-05-16 00:00:00,6,10.3
1989-05-16 00:00:00,7,10
1989-05-16 00:00:00,8,9.9
1989-05-16 00:00:00,9,9.8
1989-05-16 00:00:00,10,9.6
1989-05-16 00:00:00,15,8.8
1989-05-16 00:00:00,16,8.7
1989-05-16 00:00:00,17,8.3
1989-05-16 00:00:00,18,7.8
1989-05-16 00:00:00,19,7.4
1989-05-16 00:00:00,20,7.2
1989-05-16 00:00:00,25,6.9
1989-05-16 00:00:00,30,6.8
1989-05-30 00:00:00,0,15.7
1989-05-30 00:00:00,1,15.6
1989-05-30 00:00:00,2,15.6
1989-05-30 00:00:00,2.5,15.7
1989-05-30 00:00:00,3,15.6
1989-05-30 00:00:00,4,15.5
1989-05-30 00:00:00,4.5,15
1989-05-30 00:00:00,5,14.5
1989-05-30 00:00:00,5.5,12.5
1989-05-30 00:00:00,6,11.5
1989-05-30 00:00:00,7,10.9
1989-05-30 00:00:00,8,10.5
1989-05-30 00:00:00,9,10.4
1989-05-30 00:00:00,10,10.2
1989-05-30 00:00:00,11,9.9
1989-05-30 00:00:00,12,9.7
1989-05-30 00:00:00,13,9.5
1989-05-30 00:00:00,14,9.3
1989-05-30 00:00:00,15,9
1989-05-30 00:00:00,20,7.3
1989-05-30 00:00:00,25,7
1989-05-30 00:00:00,30,6.9
1989-06-14 00:00:00,0,18.5
1989-06-14 00:00:00,1,18.4
1989-06-14 00:00:00,2,18.1
1989-06-14 00:00:00,3,15.8
1989-06-14 00:00:00,4,14.9
1989-06-14 00:00:00,5,14.5
1989-06-14 00:00:00,6,14
1989-06-14 00:00:00,7,13.6
1989-06-14 00:00:00,8,12.8
1989-06-14 00:00:00,9,11.5
1989-06-14 00:00:00,10,10.3
1989-06-14 00:00:00,12,9.7
1989-06-14 00:00:00,14,9.1
1989-06-14 00:00:00,15,8.8
1989-06-14 00:00:00,16,8.4
1989-06-14 00:00:00,18,7.7
1989-06-14 00:00:00,20,7.4
1989-06-14 00:00:00,22,7.3
1989-06-14 00:00:00,24,7.2
1989-06-14 00:00:00,25,7.2
1989-06-14 00:00:00,26,7.2
1989-06-14 00:00:00,27,7.1
1989-06-14 00:00:00,28,7.1
1989-06-14 00:00:00,29,7.1
1989-06-27 00:00:00,0,20.3
1989-06-27 00:00:00,1,20.3
1989-06-27 00:00:00,2,20.3
1989-06-27 00:00:00,2,20.2
1989-06-27 00:00:00,3,20.2
1989-06-27 00:00:00,4,20
1989-06-27 00:00:00,5,19.6
1989-06-27 00:00:00,6,14.7
1989-06-27 00:00:00,7,13.5
1989-06-27 00:00:00,8,12.3
1989-06-27 00:00:00,9,11.4
1989-06-27 00:00:00,10,10.6
1989-06-27 00:00:00,11,10
1989-06-27 00:00:00,12,9.7
1989-06-27 00:00:00,13,9.5
1989-06-27 00:00:00,14,9.3
1989-06-27 00:00:00,15,8.9
1989-06-27 00:00:00,16,8.5
1989-06-27 00:00:00,17,8.2
1989-06-27 00:00:00,18,8
1989-06-27 00:00:00,19,7.8
1989-06-27 00:00:00,20,7.6
1989-06-27 00:00:00,21,7.5
1989-06-27 00:00:00,22,7.4
1989-06-27 00:00:00,23,7.3
1989-06-27 00:00:00,24,7.2
1989-06-27 00:00:00,25,7.2
1989-06-27 00:00:00,26,7.1
1989-06-27 00:00:00,27,7.1
1989-06-27 00:00:00,28,7.1
1989-06-27 00:00:00,29,7.2
1989-06-27 00:00:00,30,7.2
1989-07-12 00:00:00,0,19.3
1989-07-12 00:00:00,1,19.3
1989-07-12 00:00:00,2,19.3
1989-07-12 00:00:00,3,19.3
1989-07-12 00:00:00,4,19.2
1989-07-12 00:00:00,5.5,18.8
1989-07-12 00:00:00,6,16.6
1989-07-12 00:00:00,7,14.1
1989-07-12 00:00:00,8,12.1
1989-07-12 00:00:00,10,10.1
1989-07-12 00:00:00,12,9.4
1989-07-12 00:00:00,14,8.9
1989-07-12 00:00:00,15,8.6
1989-07-12 00:00:00,16,8.3
1989-07-12 00:00:00,18,7.8
1989-07-12 00:00:00,20,7.5
1989-07-12 00:00:00,22,7.4
1989-07-12 00:00:00,24,7.3
1989-07-12 00:00:00,25,7.3
1989-07-12 00:00:00,26,7.3
1989-07-12 00:00:00,27,7.3
1989-07-12 00:00:00,28,7.3
1989-07-25 00:00:00,0,18.3
1989-07-25 00:00:00,1,18.3
1989-07-25 00:00:00,2,18.3
1989-07-25 00:00:00,3,18.2
1989-07-25 00:00:00,4,17.9
1989-07-25 00:00:00,6,16.7
1989-07-25 00:00:00,7,16.1
1989-07-25 00:00:00,8,15.2
1989-07-25 00:00:00,9,14.8
